Job,Company,Description,Link
Welding Process Engineer,"Magna Automotive Technology (Thailand) Co., Ltd.","key functions & responsibilities:
project management – new product development
1. applies effective project management skills for self to balance workload and meet aggressive project timing goals
2. supports manufacturing and other functional area, especially in areas related to ultrasonic welding, vibration welding until to annealing process by input to product design for ease of manufacturing, technical guidance & making disposition of manufacturing variations
3. keeps current with new technologies & opportunities to incorporate into future products and processes
4. provides technical justification for process selection, condition setting, doe and validation process
5.generate and meet timelines, for both internal and external customers
6. design the line layout, equipment design/selection, lean line design, process flow and key document for ppap submission
7. predictive equipment capacity and preventive for new customer demand, new volume and any change
customer interface
8. develops customer and supplier relationships that add value to the business
9. prepare, critique and present technical presentations (8d, technical processes, engineering calculations, etc...)
10. mainly in ultrasonic and vibration welding process developing to continuous risk reduction
competitiveness improvements through process
11. periodical review and continuous improvement of all activities under operations and contributing to plant efficiency, quality, productivity and profitability goals and targets
12. line balancing, any succession to improving lean system and smooth, detection in processes
13. predictive related equipment capacity and feasibility the resolution as worthwhile as it can be
14. focuses on the analysis and engineering of value in a product with the objective of improving its value proposition, reducing costs, or enhancing its overall performance
support strategy development
15. participates in overall process strategy, research and development requirements, analysis of market research and manufacturing coordination of processes for new & emerging products
16. benchmarking manufacturing processes through workshops with industrial engineering china
17. review vertical integration to support make verses buy studies
18. support quotation of new products through cost estimation of process capital and tooling
quality support
19. support for ensuring certification to applicable industry and safety/ environment standards - ppap, gqs, mafact, any audit both of internal and external
20. thorough understanding of ultrasonic and vibration welding process capability and develops a rigorous process performance quality system. in tune with manufacturing capability to know where proper process improvement opportunities exist",https://th.jobsdb.com/th/job/78459279
Admin Support Claim (เจ้าหน้าที่ธุรการฝ่ายพิจารณาสินไหม),Rabbit Life Insurance Public Company Limited,,https://th.jobsdb.com/th/job/78435601
Content Creator,"VCOMMERCE GLOBAL CO., LTD.","tasks & responsibilities
สรุปเนื้อหาข่าวด้านออนไลน์ดิจิทัล การลงทุน ธุรกิจ เศรษฐกิจ เทคโนโลยี และอื่น ๆ ที่เกี่ยวข้อง
จัดทำเนื้อหารูปภาพ / วิดีโอ ตัดต่อวิดีโอสั้น-ยาว
บริหารจัดการเนื้อหาบน social media ขององค์กร
benefits
เครื่องดื่มฟรี
company outing
โบนัสพิจารณาตามผลประกอบการ
ประกันสังคม",https://th.jobsdb.com/th/job/78459544
Secretary/เลขานุการ,Bualuang Securities Public Company Limited,"หน้าที่ความรับผิดชอบ
ดูแลตารางประชุม md
ดูแลทำเบิกค่าใช้จ่ายของmd
ประสานงานกับฝ่ายบัญชีและฝ่ายการเงิน เรื่องการรับเช็คของ vendor และการหักภาษี ณ ที่จ่าย
ดูแลเรื่องการสั่ง - จัดส่ง ทำเบิกเงินค่าพวงหรีด ค่าดอกไม้ และค่าขนม เนื่องในโอกาสต่างๆ
ดูแลประสานงานและดำเนินการสั่งซื้อของขวัญปีใหม่สำหรับแจกลูกค้าประจำปี
งานอื่นตามที่ได้รับมอบหมาย",https://th.jobsdb.com/th/job/78441714
Shift Supervisor-Premium Coffee สาขาแรกในไทย,Central Retail Corporation Public Company Limited,,https://th.jobsdb.com/th/job/78458547
Recruitment Officer,Hach (Thailand) Limited,"role description
what you'll be doing
(job responsibilities)
support talent mapping, talent pipeline project.
researching and identifying candidate to support business current and future organization.
create and develop external talent database with update information and correct input.
contact external potential candidates from external via various kind of channel recruitment
what we are looking for",https://th.jobsdb.com/th/job/78442198
Talent Acquisition Supervisor,RAVIPA JEWELRY COMPANY LIMITED,"responsibilities:
manage end-to-end recruitment process to ensure fulfill headcount with quality and timely.
be a trusted partner to hiring managers to ensure a seamless recruitment process, and hiring purposes.
utilize your expertise to identify, engage, and attract top talents through various channels.
proactively approach passive candidates that are potentially fit to the team and build a pipeline and a robust network of talents.
planning interview and selection procedures, including screening calls, assessments and in-person interviews.
updating job descriptions and interview questions that reflect company’s values, and the requirements for each position.
foster long-term relationships with potential candidates and past applicants.
keep track of recruitment practices and use data to refine and optimize recruitment strategies to ensure efficiency and success.
prepare weekly recruitment report and provide updates to hiring manager and line-manager.
manage new hires database is accurately updated (humansoft).
lead the employer branding initiatives andrepresenting the organization at job fairs and recruiting events.
provide ad. hoc support to other hr functions.",https://th.jobsdb.com/th/job/78441514
Sales Engineer (Industrial Robot Spare Parts)/(1 Position Base on Chonburi...,Hamasho Corporation (Thailand) Ltd.,"duties & responsibilities
responsible for business planning and sales strategy to achieve sales and profit targets.
to expand the markets and maintain relationship with existing clients and distributors.
to review and inform the business regarding market trends, product needs and competitive spare parts, robotic, continue market observation, development, and trends new business opportunities.
to implement customer incentive plans and sales campaigns.
to solve unexpected problems closely cooperate with clients, internal sales, service team by the relationship.
to make all processed selling with market planning and reports.
to follow up the relevant party to ensure sales target team's objective assigned be achievement.
to coordinating with external and internal department included the maintained relationship with them for future business opportunities.
to be a person for marketing support, events, and survey projects assignments.
to sales the robotic & industrial equipment, spare parts, and engineering’s products for the factory.
to present the company's image, proposal, and products.
to manage and responsible to clients as their requirements.",https://th.jobsdb.com/th/job/78440867
Public Relations Consultants/ Executives,"Brand Wealth Co., Ltd.","job descriptions
planning pr and promotions strategy to improve image and good reputation to the public
prepare strategic communications plans and provide communications support to corporate clients
developing marketing communication campaigns, press conference and pr activities.
prepare and distribute written materials such as press releases, articles, interviews, and presentations.
creating media strategy and planning online and offline media and analyzing all media efficiency & report monthly
build strong relationships with media and press
coordinate with organization related parties",https://th.jobsdb.com/th/job/78459109
Barista-Premium Coffee สาขาแรกในไทย,Central Retail Corporation Public Company Limited,,https://th.jobsdb.com/th/job/78458750
Project Manager (Signaling),ALSTOM (Thailand) Ltd.,"responsibilities:
1. be accountable for project qcdp performance and optimize project financial performance (margin & cash)
as wp owner of the project management work package, he/she is qcdp accountable for all the activities of his/her wp.
2. be responsible for the project governance. define project strategy in line with contract requirements, including pmp elaboration and objectives allocation to sub-systems (planning, cost, quality, performance)
3. lead and coordinate project activities and stakeholders from transfer to close-out including:
proper transfer from tender to project
definition of project objectives and main drivers (product/service performance, planning) to achieve customer satisfaction in the frame of the contract
resources management:
define in advance project core team staffing, as well as his/her wp resources
escalate when project resources available do not match the project needs
team leading, including core team and when applicable project managers of internal and external partners:
make sure that key project stakeholders are aligned towards project/ goals
engage project teams in the successful achievement of project objectives and strengthen relationships among them
synchronize internal partners and arbitrate when necessary
alignment with contractual requirements and management of variation orders. arbitration of q,c,d,p re-baselining and change management at project level. manage claim and litigations if neede
proactive risk, saving and opportunity management
management of the project progress and its kpis, and reports to senior management, with transparency during the business/critical project reviews. he/she is the representative of the project towards alstom management.
ensuring compliance with applicable rules, instructions and standards: code of ethics & compliance, ehs, railway safety, quality, project management manual
4.manage customer and external stakeholders’ relationship
continuously ensuring alignment with customer contractual requirements
ensuring contract management and variation orders towards customer",https://th.jobsdb.com/th/job/78438660
Content Creator,Prakit Holdings Public Company Limited,"หน้าที่และความรับผิดชอบ
- สร้างสรรค์คอนเทนต์รูปแบบใหม่ๆ รูปภาพ กราฟิก คลิปวิดีโอ หรืออื่นๆ ให้เหมาะกับแพลตฟอร์มและกลุ่มเป้าหมาย
- เขียนแคปชั่น เล่าเรื่อง เรียบเรียงเนื้อหาที่รับผิดชอบได้น่าสนใจ และสร้างสรรค์",https://th.jobsdb.com/th/job/78439135
Corporate Strategy Specialist,Thai Optical Group Public Company Limited,"key roles and responsibilities
conduct data analysis and feasibility study to making decision under corporate business framework.
provide reports for management stating trends and predictions to improve business activities.
data driven improvement and lead analysis/projects based on data telling and emerging business needs.
coordinate with related departments and facilitate the execution of the strategy to ensure that the achievement of target plan.
key roles and responsibilities
conduct data analysis and feasibility study to making decision under corporate business framework.
provide reports for management stating trends and predictions to improve business activities.
data driven improvement and lead analysis/projects based on data telling and emerging business needs.
coordinate with related departments and facilitate the execution of the strategy to ensure that the achievement of target plan.",https://th.jobsdb.com/th/job/78429734
Sales Real Estate / เจ้าหน้าที่ฝ่ายขายอสังหาริมทรัพย์,H-DO (THAILAND) LTD.,"job description
survey the property to make an appraisal with an appraiser
receive case, contact, coordinate, provide information and advice to customer through the company’s system or company’s channels
provide assistance to customers as needed.
record customer information. follow up and prepare reports to present as assigned.
other administrative tasks as assigned
make sales target and visit customer such as real estate agents, condominium / village juristic person office etc. to get the projects.
รายละเอียดงาน :
สำรวจอสังหาริมทรัพย์นอกสถานที่เพื่อทำการประเมินราคากับผู้ประเมิน
รับเรื่อง ติอต่อ ประสานงาน ให้ข้อมูลและคำปรึกษาแก่ลูกค้าผ่านช่องทางการสื่อสารของบริษัท
ให้ความช่วยเหลือลูกค้าตามความจำเป็น ในกรณีที่ลูกค้าต้องการความช่วยเหลือ หรือร้องเรียน
บันทึกข้อมูลลูกค้า ติดตามและจัดทำรายงานนำเสนอต่อที่ประชุมตามที่ได้รับมอบหมาย
งานธุรการ สำนักงานอื่น ๆ ตามที่ได้รับมอบหมาย
ปฏิบัติตามนโยบายบริษัท และบริหารงานอย่างมีประสิทธิภาพตามเป้าหมาย
กำหนดเป้าหมาย และเข้าเยี่ยมลูกค้า เช่น บริษัทตัวแทนอสังหาริมทรัพย์ สำนักงานนิติบุคคลคอนโด สำนักงานนิติบุคคลหมู่บ้าน ฯลฯ เพื่อส่งเสริมกิจกรรมการขาย
สถานที่ปฏิบัติ :
ใกล้สถานีรถไฟฟ้า bts ช่องนนทรี
เวลาทำงาน :
ทำงาน 5 วัน (จันทร์-ศุกร์)
สวัสดิการ:
ประกันสุขภาพ
กองทุนสำรองเลี้ยงชีพ
ค่าคอมมิชชั่น",https://th.jobsdb.com/th/job/78413041
วิศวกรไฟฟ้า,"Sun Merry Co., Ltd.","tasks & responsibilities
ซ่อมบำรุงระบบไฟฟ้าในโรงงานและเครื่องจักร
วางแผนและควบคุมงาน pm ระบบไฟฟ้า
ตรวจสอบระบบไฟฟ้า
ควบคุมงานติดตั้งระบบไฟฟ้า
benefits
โบนัส
กองทุนสำรองเลี้ยงชีพ
ค่าโทรศัพท์
เบี้ยขยัน
ประกันอุบัติเหตุ",https://th.jobsdb.com/th/job/78459895
Community Specialist (1-year contract),LINE MAN (Thailand) Company Limited,,https://th.jobsdb.com/th/job/78429887
Scheduling planner,FrieslandCampina (Thailand) PCL.,"responsibilities
master production schedule / scheduling production plan
providing production plan on long term (mps:4-13 weeks) and short term (detailed schedule: 1-3 weeks)
adequate communication with demand planning as well as customer service, to ensure customer satisfaction
adequate communication between production and warehousing & logistics, to ensure an efficient usage of resources
coordinating the supply of fresh milk, rm and pm with the mrp planner
participating in several planning meetings (weekly planning meeting, demand & supply match meeting)
providing information and analysis to the management (pro-active and on request)
monitoring planning (pdca-cycle) & analysis
participates in continuous improvement of service level, waste, days inventory outstanding (dio) and production and master plan conformance (ppc) in alignment with the other customer sc teams
implements prioritization in planning related to the constraining and allocation process for the customerand ensure the match of demand & supply
aligns with demand and logistics teams to determine priorities,corrective and preventive actions to prevent oos and waste in accordance with the internal procedures
continuously looks for opportunities & improvements within daily work context and take ownership in implementing solutions
projects
participates in assigned (supply chain, cross functional) projects, within the project management guidelines (e.g. npi, npd, change controls, improvement) in- and outside the customer sc thailand
inventory management
managing inventory levels according to the inventory management guidelines, replenish relevant warehouses (in line with targets), follow up on aging and unallocated stock, obsolete & waste and acquire agreement with demand, source and deliver throughout the network",https://th.jobsdb.com/th/job/78397484
Demand Planner and Business Analyst,Plan B Media Public Company Limited,"key responsibilities:
analyze all relevant data to develop sales forecasts and order plans for production planning.
plan and control production schedules, monitor inventory levels, and ensure product availability aligns with delivery timelines.
oversee and manage stock efficiently, ensuring optimal stock rotation.
coordinate with factories to control production schedules, orders, and deliveries according to planned timelines.
prepare reports and analyze inventory control in comparison to sales performance.
work closely with the marketing and sales teams to accurately forecast trends.
analyze sales and consumer demand to collaborate with product development and marketing teams on designing new features.
identify and present business opportunities, driving campaigns in collaboration with the marketing team.
perform other duties as assigned by supervisors.",https://th.jobsdb.com/th/job/78438470
General Affair Executive,"McThai Co., Ltd.","หน้าที่และความรับผิดชอบ:
ดูแลงานธุรการและงานทั่วไปของแผนกบัญชีและการเงิน เพื่อให้ดำเนินงานได้อย่างราบรื่น
รับผิดชอบการเบิกเคลมประกันภัยของหน้าร้านแมคโดนัลด์ทั่วประเทศ รวมถึงการตรวจสอบเอกสารและการประสานงานกับบริษัทประกันภัย
ทำหน้าที่เลขานุการให้กับ cfo โดยจัดเตรียมเอกสาร นัดหมาย และประสานงานต่างๆ ที่เกี่ยวข้อง
สนับสนุนงานอื่นๆ ตามที่ได้รับมอบหมายจากผู้บริหาร",https://th.jobsdb.com/th/job/78456125
Sales Coordinator (Junior),"EVP Corporation Co., Ltd.","key responsibilities:
prepare and update sales-related documents throughout the sales process
(e.g., quotations, proposals, contracts, or emails) and also follow-up clients’ documents if necessary.
request expenses that relate to the sales process with the accounting department.
gather information and reach out to new leads together with the marketing team.
record profit and loss for each project that is related to the sales department.
compile weekly, monthly, or other reports for the management team.
take on additional responsibilities assigned by the sales manager or company executives.",https://th.jobsdb.com/th/job/78410590
Sales Executive,Sandkat Thailand Co Ltd,"jobs responsibilities
promote and present sandkat 4x4 suspension products.
handle sales activities in targeted areas (bangkok/north/northeast/central/south) in thailand.
establish, develop, and maintain positive business and customer relationships.
reach out to customer leads and develop new ones.
expedite the resolution of customer problems and complaints to maximize satisfaction.
coordinate sales efforts with team members and other departments.
analyze the territory/market’s potential, track sales, and compile status reports.
provide management with reports on customer needs, problems, interests, competitive activities, and potential for new products and services.
stay updated on best practices, promotional trends, and market situations.
continuously improve through feedback.
perform other duties as assigned related to business needs.",https://th.jobsdb.com/th/job/78412357
Cost Controller,"Beger Co., Ltd.","responsibilities
develop and implement cost control strategies and plans
analyze and monitor cost data
identify and implement cost-saving opportunities
prepare and present cost reports
work with engineers to design and implement cost-effective manufacturing processes
collaborate with procurement professionals to negotiate favorable supplier contracts
stay up-to-date on the latest cost accounting methodologies and best practices",https://th.jobsdb.com/th/job/78441635
Express Operations Supervisor - Samut Sakhon,"Shopee (Thailand) Co., Ltd.","job description
manage day-to-day order in fms, arrange order activities to maximize the efficiency, reliability, timeliness, and cost-effectiveness of the rework and return process.
monitor all orders to ensure all documents and coordinate with another related team
monitor and improve productivity for all functions of rework and return team
ensure all ground staff operates by following wi.
keep records of process error for the continuous development and improvement of the process
to manage the entire order with main focus on-time
prepare daily report, monthly report and etc.
support all function process in own team and other teams
to perform any other duties assigned by direct manager.",https://th.jobsdb.com/th/job/78381619
Payroll & HR Service,"REVER AUTOMOTIVE CO., LTD.",,https://th.jobsdb.com/th/job/78410697
Sales Associate (Siam Paragon),Burberry (Thailand) Limited,,https://th.jobsdb.com/th/job/78437527
Customer Service Specialist- Korean Speaker(Topik 5 or Topik 6),Teleperformance Malaysia Sdn Bhd,"responsibilities
answer customer inquiries over the phone, chat, and/or email
log customer interactions in our system for proper documentation
follow-up with customers as appropriate
review customer’s account to identify and offer products that will benefit the customers (sales representative)
participate in team meetings and strategize on team performance improvement
participate in one-on-one coaching sessions with direct manager to strategize on individual performance improvement",https://th.jobsdb.com/th/job/78410941
Packaging and Graphic Designer,Core Home,"key responsibilities:
develop visually stunning and captivating packaging designs that effectively represent our brand and products.
create compelling graphic designs for various marketing materials, including brochures, advertisements, and online assets.
collaborate with cross-functional teams to ensure brand consistency across all design projects.
stay updated on industry trends and best practices in packaging and graphic design to bring fresh and innovative ideas to the table.",https://th.jobsdb.com/th/job/78444153
Talent Acquisition/สรรหาบุคคล,"Eternal Sakata Inx Co., Ltd.","job description:
responsible for full cycle recruitment activities, including job posting, pre-screening, testing, interviewing, negotiating, reference check and hiring process.
gather requirement and ensure their targets are achieved at all time
developing and implementing contemporary recruitment methods to attract and retain top qualitycandidates appropriate to the position and the company's needs.
review organization chart and manpower planning with line manager
update recruitment reports to strategic group everyday.
build applicant sources and advertise job vacancies, e.g. campus recruitment, social media and job sites
identifying what, exactly, about company makes it attractive to candidate (employee branding)
to initiateand develop company branding by leverage candidate facing communications, social media, and video to convey the corporate culture and employee experience
assists with company projects and human resource related events.
perform other duties as assigned",https://th.jobsdb.com/th/job/78431616
Field Service Engineer Heating Refrigeration Technology,"GEA (Thailand) Co., Ltd.","job responsibilities
execute site service jobs (maintenance, troubleshooting, repairs, installation supervision, commissioning)
prepare spare parts lists required for maintenance or repair of entire ammonia refrigeration system (e.g. compressor packages, pumps, air cooler, condensers, valves, etc.)
help prepare service contracts (technical part)
conduct site inspections and audits (safety, process, reliability, energy efficiency)
remote troubleshooting support for customers
find solutions and execution modifications and upgrades of the refrigeration systems (e.g. upgrade of control system, installation of vsds, heat exchangers, capacity extension, etc.)
communicate with factory 2nd level support teams for finding solutions while troubleshooting or commissioning
maintain good and trustful customer relations, by being gea hrt ambassador at customer site.
look for opportunities on customer sites and support sales of new projects and services
absorb and implement best practices from received trainings and also colleagues
support other service engineers on request",https://th.jobsdb.com/th/job/78433068
GRAPHIC DESIGNER,"Plan Motif Co., Ltd.","หน้าที่และความรับผิดชอบ:
การออกแบบและสร้างกราฟิก:
ออกแบบกราฟิกสำหรับสื่อออนไลน์และออฟไลน์ เช่น โปสเตอร์, แบนเนอร์, แผ่นพับ, และกราฟิกสำหรับโซเชียลมีเดีย
สร้างสื่อการตลาดที่มีความดึงดูดและตอบสนองความต้องการของกลุ่มเป้าหมาย
การใช้ซอฟต์แวร์กราฟิก:
ใช้ซอฟต์แวร์กราฟิกและการออกแบบ เช่น adobe photoshop, illustrator, indesign, และอื่น ๆ เพื่อสร้างงานที่มีคุณภาพ
อัปเดตและปรับปรุงไฟล์กราฟิกตามคำแนะนำและข้อเสนอแนะ
การพัฒนาแบรนด์:
ออกแบบและพัฒนาองค์ประกอบแบรนด์ เช่น โลโก้, สัญลักษณ์, และเอกลักษณ์ของแบรนด์
รักษาความสอดคล้องของภาพลักษณ์และสไตล์ของแบรนด์ในทุกสื่อ
การสร้างและจัดการเนื้อหา:
สร้างเนื้อหาที่สอดคล้องกับกลยุทธ์การตลาดและสื่อสารข้อความของแบรนด์
จัดการและจัดเตรียมเนื้อหากราฟิกสำหรับการใช้ในโครงการต่าง ๆ
การตรวจสอบและควบคุมคุณภาพ:
ตรวจสอบและแก้ไขข้อผิดพลาดในการออกแบบเพื่อให้ตรงตามมาตรฐานคุณภาพ
ตรวจสอบความถูกต้องของข้อมูลและรูปภาพก่อนการเผยแพร่
การทำงานร่วมกับทีมงาน:
ประสานงานกับนักออกแบบ, ผู้เขียนบท, และทีมการตลาดเพื่อให้ได้ผลลัพธ์ที่ดีที่สุด
รับฟังข้อเสนอแนะและทำการปรับปรุงการออกแบบตามที่ได้รับมอบหมาย
การบริหารจัดการเวลา:
จัดลำดับความสำคัญของงานและปฏิบัติงานให้เสร็จตามตารางเวลาและงบประมาณที่กำหนด
ทำงานในสภาพแวดล้อมที่มีความกดดันสูงและมีการเปลี่ยนแปลงอยู่เสมอ",https://th.jobsdb.com/th/job/78464019
Planner (Economist),Bangchak Corporation Public Company Limited,"job descriptions
ศึกษาและประเมินความคุ้มค่าทางเศรษฐศาสตร์ของการกลั่น ทั้งระยะสั้นและระยะยาว
ประเมินและติดตามแผนกลั่นให้สามารถกลั่นได้อย่างมีสิทธิภาพสูงสุดอย่างต่อเนื่อง
ศึกษาและประเมินความคุ้มค่าทางเศรษฐศาสตร์ของการใช้เชื้อเพลิงของโรงกลั่น
tuning linear programing modelเพื่อให้modelที่ใช้ในการเลือกซื้อน้ำมันดิบและการวางแผนการกลั่นมีความสอดคล้องกับ performance ของโรงกลั่นในปัจจุบัน และมีความถูกต้องและแม่นยำมากขึ้น
developing linear programing moduleเพื่อใช้ในการศึกษาแผนการกลั่นระยะยาว และเพื่อให้มีความสอดคล้องกับconfigurationของโรงกลั่นในอนาคต
วิเคราะห์ต้นทุนและผลประโยชน์ จากทางเลือกในการจัดหาและจำหน่ายในรูปแบบต่าง ๆ ด้วยlinear programingเพื่อพิจารณาและนำเสนอทางเลือกที่ดีที่สุด
งานอื่นๆ ตามที่ได้รับมอบหมาย",https://th.jobsdb.com/th/job/78410044
Assistant Buyer,"Central Watson Co., Ltd.","หน้าที่รับผิดชอบหลัก (key responsibilities)
สร้างสินค้าให้ได้จำหน่ายตาม timeline
ประสานงานและติดตาม และช่วยเหลือsupplier ในการสร้างสินค้าเข้าระบบsupplier portal ให้ถูกต้องตามเงื่อนไขที่กำหนดให้ได้จำหน่ายสินค้า ตามtimeline
2. ตรวจสอบวันส่งสินค้า และ แจ้งเปิดpo
ประสานงานกับsupplierเพื่อตรวจสอบวันพร้อมส่งสินค้าและแจ้งเปิดpo กับทางsupply chainและ ตรวจสอบว่าสินค้าว่าถุกจัดส่งตามวันที่ระบุหรือไม่
3. ติดตามการเพิ่ม contentสินค้าบนapp/ web
ติดตามsupplierในการสร้างcontentในระบบsupplier portalเพื่อเพิ่มความน่าสนใจของสินค้า และ เพิ่มโอกาสในการขายบนapp/web
4. ติดตามและตรวจสอบเอกสารต่างๆจาก supplier
ติดตามและตรวจสอบเอกสารเปิดหน้าบัญชี , เปลี่ยนแปลงข้อมูลsupplier , จดหมายขออนุญาตส่งสินค้าต่ำกว่าเฏณฑ์
5. คำนวณค่าใช้จ่ายและทำเอกสารเพื่อเรียกเก็บเงินส่วนต่างที่เกิดขึ้นจากการเล่นโปรโมชั่น
คำนวณค่าใช้จ่าย และ ทำเอกสารเพื่อเรียกเก็บเงินส่วนต่างที่เกิดขึ้นจากการเล่นโปรโมชั่นกับทาง supplierในแต่ละรอบเดือน
6. ประสานงานกับsupplierเพื่อเคลียร์เคสcomplaintจากลูกค้า
ประสานงานกับsupplierเพื่อเคลียร์เคสcomplaintจากลูกค้า และตอบกลับทางcs
7. supportงานอื่นๆที่ได้รับมอบจากbuyer
supportงานอื่นๆที่ได้รับมอบจากbuyerเช่น สร้างลิงค์สินค้า,ช่วยติดตามartwork, ช่วยตรวจสอบartwork และ leaflet,ช่วยโปรโมชั่นช่วงเริ่มโปร
8. ประสานงานกับหน่วยงานภายในของบริษัท
ประสานงาน และ วิเคราะห์ติดตามคำขอของฝ่ายต่างๆในบริษัท เช่น
e-com team
it team
supply chain team
wh team
finance team
marketing team",https://th.jobsdb.com/th/job/78453086
Customs Operation,"Savino Del Bene (Thailand) Co., Ltd.","job description;
- operation (mainly focused on customs clearance & trucking)
- ocean and air import/export customs clearance
- data entry on the system of the customs office and the company(oms), document preparation/submission, billing for both buying/selling rate and etc.
- air import/export customs clearance
- cooperation with an internal truck operation officer and truck vendors
- cooperation with warehouse vendors
- cooperation with sales, c/s, and finance team.
- team r&r management and re-distribution for work efficiency
- cooperation with other departments of the company",https://th.jobsdb.com/th/job/78441246
Creative : Music Fest / Music Content (รายการเพลง),"BIG THINK CO.,LTD.","หน้าที่และความรับผิดชอบ / responsibilities
สามารถคิดไอเดียตามงาน หรือ project ที่ได้รับมอบหมายต่างๆ ได้เป็นอย่างดี
มีความเข้าใจ และมีความรู้เรื่องเพลงแบบลึก หลากหลายแนว
เขียนสคริปต์ในแนวทางสนุก สดใหม่ ทันกระแส และมีมุมมองใหม่ๆ
เข้าใจสไตล์ คาแรคเตอร์ รูปแบบของรายการ หรือ project ที่รับผิดชอบ ได้เป็นอย่างดี
คิดงานสำหรับลูกค้าได้ตอบโจทย์ และเข้ากับวัตถุประสงค์ที่ได้รับ
มีความรับผิดชอบ ส่งงานตรงตามไทม์ไลน์ที่ได้รับมอบหมาย
สามารถทำงานได้ทั้งในกรุงเทพฯ และต่างจังหวัด
มีความเข้าใจในชิ้นงาน ทั้ง offline ,online และ on ground",https://th.jobsdb.com/th/job/78442608
พนักงานแอดมิน,อโบฟ อินโนเวชั่น จำกัด,,https://th.jobsdb.com/th/job/78456427
Sales Engineer (Industrial Robot Spare Parts) / วิศวกรขาย 1 Position Base on...,Hamasho Corporation (Thailand) Ltd.,"duties & responsibilities
responsible for business planning and sales strategy to achieve sales and profit targets.
to expand the markets and keep relationship with existing clients and distributors.
to review and inform the business regarding market trends, product needs and competitive spare parts, robotic, continue market observation, development, and trends new business opportunities.
to implement customer incentive plans and sales campaigns.
to solve unexpected problems closely cooperate with clients, internal sales, service team by the relationship.
to make all processed selling with market planning and reports.
to follow up the relevant party to ensure sales target team's objective assigned be achievement.
to coordinating with external and internal department included the maintained relationship with them for future business opportunities.
to be a person for marketing support, events, and survey projects assignments.
to sales the robotic & industrial equipment, spare parts, and engineering’s products for the factory.
to present the company's image, proposal, and products.
to manage and responsible to clients as their requirements.",https://th.jobsdb.com/th/job/78431610
Customer Service Associate,Hermes Thailand,"key responsibilities:
front office - customer service
respond promptly and effectively to clients’ inquiries via calls, chats, and emails.
listening to the client attentively, troubleshooting, providing accurate information, and issuing solutions.
facilitating a seamless flow by acting as a liaison between clients and internal teams.
proactively gather client feedback, analyze trends, and identify where to improve our service.
collaborating cross-function with other departments, such as stores team, finance, communications, and operations.
back office – ecommerce orders management
oversee the order management function and order validation process.
monitoring warehouse picking and packing process. ensure all orders are fulfilled and dispatched within provided lead time.
fully in charge of all return and exchange orders by following the internal procedures and processing them in a timely manner.
efficiently manage and track orders, to ensure smooth processing and timely delivery.
regularly connect with external couriers for shipment management.
reporting
provide a report on inquiries and client trends, along with analysis, on a monthly and yearly basis.
analyze and report on the performance of each communication channel.
the successful candidate for this role must flexibility in terms of time management and availability. a customer service associate will be expected to work on the weekends and public holidays, as well as be open to working in shifts.",https://th.jobsdb.com/th/job/78442585
Field Service Engineer Heating Refrigeration Technology,"GEA (Thailand) Co., Ltd.","job responsibilities
execute site service jobs (maintenance, troubleshooting, repairs, installation supervision, commissioning)
prepare spare parts lists required for maintenance or repair of entire ammonia refrigeration system (e.g. compressor packages, pumps, air cooler, condensers, valves, etc.)
help prepare service contracts (technical part)
conduct site inspections and audits (safety, process, reliability, energy efficiency)
remote troubleshooting support for customers
find solutions and execution modifications and upgrades of the refrigeration systems (e.g. upgrade of control system, installation of vsds, heat exchangers, capacity extension, etc.)
communicate with factory 2nd level support teams for finding solutions while troubleshooting or commissioning
maintain good and trustful customer relations, by being gea hrt ambassador at customer site.
look for opportunities on customer sites and support sales of new projects and services
absorb and implement best practices from received trainings and also colleagues
support other service engineers on request",https://th.jobsdb.com/th/job/78441650
Digital Marketing Manager,"I.P. One Co., Ltd.","responsibilities
manage the strategy and development of digital and online communication for all company’s products.
work closely with brand building team to create online strategy and online campaign that supports business growth.
evaluate and measure roi on key metrics for all digital and online communication.
day to day management of all online marketing campaigns.
lead and manage company's digital channels e.g. website, line oa",https://th.jobsdb.com/th/job/78451397
Facilities Coordinator / Admin Coordinator (Lat Krabang),"CBRE (Thailand) Co., Ltd.","responsibilities
respond promptly to client inquiries and concerns, ensuring high-quality service delivery and follow up with clients.
create, assign, and communicate work orders to technicians, subcontractors, and vendors.
resolve issues and provide status reports on work orders.
maintain accurate records of work orders, proposals, and vendor files.
process invoices, purchase orders (po), and purchase requisitions (pr) with correct cost center coding.
assist with facility inspections and ensure compliance.
utilize pc and/or pda for work order systems, email, and training purposes.
perform other duties as assigned.",https://th.jobsdb.com/th/job/78414883
Business Development Executive,Thai Aviation Services Ltd.,,https://th.jobsdb.com/th/job/78438003
